No.,Category,question,answer,BLEU,BERT
1,General application help,I wonder how I can control digital inputs in URSim. I would like to control the digital inputs for the purpose of complete simulation. Do you have an idea?,"someone else may have a better answer, but you could use the I/O tab on the top ribbon and manually press the toggle box in the digital inputs. Only issue I see here is if you have it trigger a popup and need the button to close it.",0.0842,0.8558
2,General application help,I am trying to use the UR5 robot with clearpath ridgeback robot. It is communicating. The connections are all done. I am trying to program it to do a handshake first so that I can ask the UR5 robot to do a certain task when the clearpath robot is at a certain point. How do I do that? all in advance?,There¡¯s a couple methods you could use. What I¡¯ve done in the past is use the socket_read command or use one robot to switch on an IO signal that the other robot can read.,0.0661,0.86
3,General application help,I was experimenting with the robot and somehow I could not get past the 1 m/s velocity in a linear path. I tried doing a movej before a movel so that it can start accelerating and gaining velocity before it keeps accelerating and gaining velocity in the linear path?,You might need to validate your speed / safety settings. You shouldn¡¯t have to do anything fancy to try to trick the robot into moving faster,0.0229,0.8524
4,General application help,"Beginner question, how to understand the difference between the base coordinate system and the tool coordinate system. When i use either reference, i get confused by moving for instance the Y direction or X direction.I guess my question is, is there a trick to knowing which X or Y button to move it the arm or TCP in the direction i want. Am i correct in saying using a tool feature move is for precices positioning of the gripper/ tool and using a base feature move would be for a general type move?",Movement in the base coordinate system is based off of the end of the robot arm - the center of the tool output flange. The tool coordinate system is based off of whatever you set the TCP to (I believe they may be the same by default).,0.1003,0.8391
5,General application help,"As the title says, is it possible for me to set a different starting pose of a UR5e robot in URSim 5.10? I would like it to start at the home pose?","The first waypoint in your program is the starting pose. If you want the starting pose to be used only when first starting the robot, you can put a move in the before start sequence, so it is not a part of the looping main program",0.0761,0.8553
6,General application help,I know you could save a tcp pose as an installation variable but would that make the robot joints move differently anytime you repeat the program? I want a waypoint I can save as an installation variable that keeps its joint trajectory the same just as if we were to run a normal program with basic waypoint nodes?,"I hope I understand your question right. If you save a position as coordinates as p[X,Y,Z,RX,RY,RZ], then yes.",0.0164,0.8088
7,General application help,"How Do i mount a welding torch on your robot in rviz. id like to to include the welding torch and then ensuring rviz displays this updated model correctly. i have the stl file with me, i want to add it at the robot tool center point. me. i am using this comman to run the rviz ros2 launch ur_robot_driver ur_control.launch.py ur_type:=ur10e robot_ip:=xxx.xxx.x.xx launch_rviz:=true i couldnt find the ur description file or urdf files to edit the links and joints?",i am currently having a mild error in rviz simulation where the whole UR10 manipulator is visible except the end effector gripper part. Please the reason behind it as i tried very hard to settle it but unable to do so.,0.033,0.8293
8,General application help,"As a 100% newbee (followed Core training, but still missing some experience) I have run into a issue with our UR5e. We want to start the program (That puts screws in a device and which works fine) with a single push of the start button. With the stop button we want to stop the program. Both buttons are pulse switches connected to the I/O inuts. DI4 and DI5 What would be a good procedure to get it work? Any help is welcome as I am stuck and need to have machine running any soon. Many in advance Ronald?","If it works for you, I would set up the program to not actually stop but repeat indefinitely. Then, in the start of your program, you can Wait for a variable to become True.",0.0249,0.8307
9,General application help,"I want to create a URCap that will use master/slave communication similar to MODBUS. On one screen in the Installation tab I want to let user add/remove digital inputs and outputs (Similar to MODBUS) and I want these I/O to be visible on the I/O Tab, again, similar to MODBUS. I¡¯m having hard time registering these digital I/O and I could¡¯t find any part of the API documentation that mentions registering/unregistering I/O so that it appears in the I/O Tab. I also searched for examples of this in the doc folder of the SDK but found nothing relevant. Is this even possible with the latest version of the SDK?","I¡¯m not sure if it helps or not, I do not know how to get them displayed on the I/O tab. You can however get them displayed on the Variables tab of the program screen.",0.0201,0.8556
10,General application help,"I have a simple toolpath I am testing. Looking at some other posts and Fusion 360 code, it looks like the URe recognizes circular g code of G02 and G03. But when I use these lines, I get a parsing error. Does anybody have a working example of the G02/G03 code? N10 G21 G90 N30 G01 X-28.55 Y1.17 Z-6 A0 B0 C110 F1000 N40 G17 G02 X-2.56 Y23.24 I-27.02 J23.25 N70 G01 X-2.56 Y23.25 C0 N80 X-2.56 Y56.19 N90 G02 X-28.55 Y77.61 I-27.02 J53.19 N100 X-36.48 Y69.17 I-28.02 J69.17 N110 G01 X-36.48 Y69.17 C-180 N120 G02 X-28.55 Y1.17 I-28.02 J7.27 N1142 X-25.5 Y1.17 C-255 N1143 X-25.5 Y-10 N1145 X-25.5 Y-10 Z10 N1150 M30?","I¡¯m not sure, but I think the issue may be that you aren¡¯t sending a movement command on each line rather than the content of your G2 etc. N10 G21 G90 N30 G01 X-28.55 Y1.17 Z-6 A0 B0 C110 F1000 N40 G17 G02 X-2.56 Y23.24 I-27.02 J23.25 N70 G01 X-2.56 Y23.25 C0 N80 X-2.56 Y56.19 N90 G02 X-28.55 Y77.61 I-27.02 J53.19 N100 X-36.48 Y69.17 I-28.02 J69.17 N110 G01 X-36.48 Y69.17 C-180 N120 G02 X-28.55 Y1.17 I-28.02 J7.27 N1142 X-25.5 Y1.17 C-255 N1143 X-25.5 Y-10 N1145 X-25.5 Y-10 Z10 N1150 M30 Try putting G1 or G2 at the start of the lines in bold.",0.5702,0.9327
11,General application help,I am using a UR20 e-series on polyscope version 5.14.5.I recently installed a trial version of Nutai cobot vnc. I cannot control the robot from my laptop from the move tab. does anyone have any advice to how I can use the move tab? I can control the program from the laptop in automatic mode but if I switch to manual and try to use the move tab the arrows remain frozen. The only way to use the move tab is to hold the 3PE switch which obviously defeats the purpose of trying to control remotely. Any advice is greatly appreciated. Dave?,I don¡¯t think you have any other choice than to use the 3PE switch on this robot. Remote controlling it without being there physically is not intended due to safety reasons,0.0246,0.8385
12,General application help,I am trying to program the UR20 to load a part to a machine. The fixture in the machine moves on the X and Y axis slightly- it is not fixed but I need to be able to connect the part onto the fixture.as it begins to connect the fixture moves slightly resulting in an error message asking to enable the robot again. Does anyone have any tips for loading to a fixture like this?,This is a known problem when inserting a component into a chuck on a CNC machine. Try to set the arm susceptibility in the X-axis and Y-axis of the tool before clamping the gripper in the machine - this will cause the robot not to wrestle with the gripper in the machine but to adjust as it closes.,0.1101,0.8627
13,General application help,"I want to program the robot for taking images of an object in a half hemisphere for 3D modeling application. To be able to do it automatically I want to program the robot in a way that no matter where I take the arm, it will focus the tcp (camera focal point) on one particular point in space. I want to do it automatically and not by manually moving the robot and pointing its arm towards the focal point. For example: The arm will rotate around p[0,0,1.1,0,0,0] in a half hemisphere that will range between a zenith angle of 70¡Æ to ?70¡Æ with intervals of 10¡Æ. the rotation around the p point will be in intervals of 60¡Æ . The distance from p will be 0.8 meters?","I would setup a tcp for the camera, were the tcp is at the focal distance of your camera, so 0.8 meters in front of it. Then I would teach the actual point of focus and let the robot move to that point using the camera tcp, giving it the desired orientation angle",0.0432,0.8477
